"Price Rules","Fiyat Kuralları"
"Rule Name","Kural Adı"
"Description","Açıklama"
"Start Date","Başlangıç Tarihi"
"End Date","Bitiş Tarihi"
"Discount Amount","İndirim Tutarı"
"Status","Durum"
"No End Date","Bitiş Tarihi Yok"
"Active","Aktif"
"Inactive","Pasif"
"No catalog price rules are applied to this category.","Bu kategoriye uygulanmış fiyat kuralı bulunmamaktadır."
"Conditions","Koşullar"
"No conditions specified","Koşul belirtilmemiş"
"Category","Kategori"
"Attribute Set","Özellik Seti"
"Price","Fiyat"
"Special Price","Özel Fiyat"
"is","eşittir"
"is not","eşit değildir"
"equals or greater than","büyük eşittir"
"equals or less than","küçük eşittir"
"greater than","büyüktür"
"less than","küçüktür"
"contains","içerir"
"does not contain","içermez"
"is one of","şunlardan biridir"
"is not one of","şunlardan biri değildir"
